"시군구별","성별",2019,2020,2021
"전국","계",26.9,25.7,26.0
"전국","남",38.0,35.5,35.9
"전국","여",15.8,15.9,16.2
"서울특별시","계",22.5,22.7,22.6
"서울특별시","남",30.8,30.3,30.5
"서울특별시","여",14.5,15.4,15.0
"부산광역시","계",30.1,27.4,27.7
"부산광역시","남",43.1,38.8,37.9
"부산광역시","여",17.6,16.4,17.9
"대구광역시","계",28.7,26.1,26.3
"대구광역시","남",41.2,35.8,38.2
"대구광역시","여",16.5,16.6,14.7
"인천광역시","계",25.9,26.5,25.9
"인천광역시","남",37.7,37.0,34.5
"인천광역시","여",14.1,15.9,17.3
"광주광역시","계",23.9,22.6,26.4
"광주광역시","남",33.9,31.1,38.0
"광주광역시","여",14.1,14.2,15.1
"대전광역시","계",28.7,27.2,29.3
"대전광역시","남",41.9,37.9,39.8
"대전광역시","여",15.6,16.5,18.8
"울산광역시","계",28.2,26.4,28.5
"울산광역시","남",41.5,36.7,40.7
"울산광역시","여",14.2,15.6,15.5
"세종특별자치시","계",22.4,18.4,19.0
"세종특별자치시","남",26.4,18.5,24.3
"세종특별자치시","여",18.4,18.4,13.8
"경기도","계",25.4,23.7,23.6
"경기도","남",34.2,32.3,31.3
"경기도","여",16.4,14.9,15.7
"강원도","계",33.3,33.2,32.7
"강원도","남",49.5,45.6,45.4
"강원도","여",16.9,20.7,19.9
"충청북도","계",31.1,27.1,31.8
"충청북도","남",46.0,38.5,44.5
"충청북도","여",15.9,15.4,18.7
"충청남도","계",35.2,34.7,32.2
"충청남도","남",50.6,47.9,45.0
"충청남도","여",19.2,21.0,18.8
"전라북도","계",30.2,27.8,28.5
"전라북도","남",43.9,41.7,42.5
"전라북도","여",16.6,14.0,14.6
"전라남도","계",25.4,28.5,30.2
"전라남도","남",39.4,41.3,42.7
"전라남도","여",11.3,15.6,17.6
"경상북도","계",29.4,28.6,29.0
"경상북도","남",41.6,37.8,40.8
"경상북도","여",17.1,19.3,17.1
"경상남도","계",28.0,25.3,26.3
"경상남도","남",39.8,36.3,37.6
"경상남도","여",16.1,14.3,14.9
"제주도","계",31.7,30.0,26.1
"제주도","남",47.6,42.6,41.0
"제주도","여",15.5,17.2,11.1
